"","x"
"AT1G05055",0.00183143522513414
"AT1G05060",0.106010692015814
"AT1G05065",5.5427450879118e-08
"AT1G05070",0.0568033810403102
"AT1G05080",0.054380309894511
"AT1G05085",0.0680021191863624
"AT1G05100",4.70346298838305e-08
"AT1G05120",0.0742052458440123
"AT1G05136",0.0494625853322324
"AT1G05140",1.27926259662651e-06
"AT1G05150",0.151241647579016
"AT1G05160",0.000317361705002136
"AT1G05170",0.000184455332338021
"AT1G05180",0.0260708242359785
"AT1G05190",0.000410719703029094
"AT1G05200",4.48984051724029e-06
"AT1G05205",0.0687787714972025
"AT1G05210",0.201382963362511
"AT1G05220",0.273054600981657
"AT1G05230",0.279269346455379
"AT1G05260",0.00118312899368467
"AT1G05270",0.000166559440640419
"AT1G05280",5.45828236274194e-05
"AT1G05290",0.00796504692928013
"AT1G05291",0.0699431805666447
"AT1G05300",1.47286734091322e-08
"AT1G05310",5.51903365628351e-10
"AT1G05320",0.0566995517877252
"AT1G05330",0.00280124155997257
"AT1G05340",0.0138607760502095
"AT1G05350",0.16254284837123
"AT1G05360",0.549011527633269
"AT1G05370",5.00231742030415e-05
"AT1G05380",0.00447572932995065
"AT1G05385",0.0521899952485631
"AT1G05410",0.094075423503332
"AT1G05420",3.12304842736218e-09
"AT1G05430",0.0415973816376436
"AT1G05440",0.158677379064968
"AT1G05450",0.00571451446290656
"AT1G05460",0.0477243994003069
"AT1G05470",0.0365974911251464
"AT1G05490",1.18498274834599
"AT1G05500",0.220789254718944
"AT1G05510",0.0117220041764138
"AT1G05520",0.115992091898961
"AT1G05530",2.75564686198596e-05
"AT1G05540",0.0120525171895608
"AT1G05550",0.337765763511618
"AT1G05560",6.92184130108711e-11
"AT1G05570",0.0333631648481583
"AT1G05575",0.0167166711744491
"AT1G05577",8.83708893092398e-07
"AT1G05580",0.540040548583662
"AT1G05590",0.0294202034746551
"AT1G05600",0.0264612313208806
"AT1G05610",0.00315404519262271
"AT1G05615",7.2641457065107e-07
"AT1G05620",0.0656274452326965
"AT1G05630",0.005647092407338
"AT1G05640",0.106307796845738
"AT1G05650",0.0357741969234727
"AT1G05660",0.0148592391699035
"AT1G05670",0.0666064891471445
"AT1G05675",1.45267250387974e-06
"AT1G05680",2.08344385215928
"AT1G05690",1.11359693695507e-07
"AT1G05700",0.189443510047603
"AT1G05710",0.0184566577390694
"AT1G05720",0.0336174244423472
"AT1G05730",0.403036682011908
"AT1G05740",0.044733475063586
"AT1G05750",6.44723179843454e-06
"AT1G05760",0.00209795790661708
"AT1G05770",8.86243226848846e-05
"AT1G05780",0.111328327093797
"AT1G05785",0.268461181087592
"AT1G05790",0.0099444901743868
"AT1G05800",1.69374008856876e-09
"AT1G05805",1.39356817149964e-05
"AT1G05810",2.42132171180074e-05
"AT1G05820",0.0143740582011407
"AT1G05830",0.137855814871425
"AT1G05835",0.0251323018078516
"AT1G05840",0.271435759885967
"AT1G05850",4.68827852994186e-06
"AT1G05860",1.56041831263597e-06
"AT1G05870",0.0106497012253437
"AT1G05880",9.00579461073891e-07
"AT1G05890",0.0383303188921475
"AT1G05894",0.12626365996513
"AT1G05900",0.00768092861932835
"AT1G05910",0.101705755679368
"AT1G05920",0.00117182877441565
"AT1G05930",0.00287000941836985
"AT1G05940",0.0147756410527143
"AT1G05950",0.0595843821095242
"AT1G05960",0.0624886655800478
"AT1G05970",0.108843951524321
"AT1G05990",0.00247307388505924
"AT1G06000",5.67988683826953e-09
"AT1G06010",0.0220560549834134
"AT1G06020",0.0111879432872639
"AT1G06030",0.0861701203728702
"AT1G06040",1.44719617383559e-09
"AT1G06050",0.0330342718918013
"AT1G06060",0.000820293760965267
"AT1G06070",0.0179866390214138
"AT1G06080",0.0983349202312439
"AT1G06090",1.56527383891196e-05
"AT1G06100",6.08694266881619e-05
"AT1G06110",0.0526268067961685
"AT1G06120",0.00805735980479679
"AT1G06130",4.92462660782066e-07
"AT1G06135",3.83577983803983e-07
"AT1G06137",0.00612844024320133
"AT1G06140",0.00455941536664309
"AT1G06150",0.100621320678948
"AT1G06148",9.33243354666787e-09
"AT1G06160",0.00251503863091403
"AT1G06170",5.49305956517553e-05
"AT1G06190",0.00331788802102148
"AT1G06200",0.0238151293253023
"AT1G06210",0.764091967129911
"AT1G06220",0.331786049622219
"AT1G06225",0.275101766003158
"AT1G06230",0.313552500700427
"AT1G06240",0.0353930248924713
"AT1G06260",0.0320633020499755
"AT1G06270",0.15886557756578
"AT1G06290",0.00474261304772
"AT1G06310",0.0516119364837146
"AT1G06320",0.343607592220308
"AT1G06330",7.0473457899419e-05
"AT1G06340",7.13752210086203e-06
"AT1G06350",0.21406484274915
"AT1G06360",0.00014506987403223
"AT1G06380",0.00536250338280828
"AT1G06390",0.0896863368516655
"AT1G06400",0.00406773929515775
"AT1G06410",5.87500993968032e-06
"AT1G06420",0.295138065905533
"AT1G06430",0.000101232862177983
"AT1G06440",0.0077946905010064
"AT1G06450",0.013264153497969
"AT1G06460",0.000966555375473914
"AT1G06470",0.00025402202400038
"AT1G06475",4.89475265907868e-05
"AT1G06490",0.00140194790252552
"AT1G06500",0.260810674315755
"AT1G06515",0.0853931160186073
"AT1G06510",0.117830227191736
"AT1G06520",0.0640712547445436
"AT1G06530",1.65585283991222e-06
"AT1G06540",0.2277953990543
"AT1G06550",0.0935738086723155
